C3-A1,C4-A2,F3-A1,F4-A2,F7-A1,F8-A2,Fp1-A1,Fp2-A2,O1-A1,O2-A2,P3-A1,P4-A2,T3-A1,T4-A2,T5-A1,T6-A2,LABEL
3.953917754,-14.76462959,15.06492714,-1.851834897,9.359273671,1.951934081,-6.356298161,13.56343938,-4.554512856,-3.653620203,-6.256198978,4.95490959,12.16205081,-1.251239796,-2.052033265,-0.250247959,NORMAL
3.353322652,-12.96284428,12.06195163,-1.551537346,9.659571221,-0.250247959,-6.256198978,12.46234836,-5.455405509,-5.055008774,-6.556496529,5.155107958,11.16105898,-2.052033265,-2.952925917,-0.850843061,NORMAL
2.452429999,-17.36720836,10.05996796,-0.250247959,9.459372854,-1.751735714,-5.955901427,10.56046387,-5.955901427,-5.955901427,-6.556496529,4.654612039,9.359273671,-2.652628367,-3.553521019,-0.050049592,NORMAL
1.551537346,-19.5693904,7.857785916,0.750743877,9.459372854,-1.551537346,-5.455405509,9.159075303,-6.556496529,-5.755703059,-6.256198978,5.255207141,9.359273671,-2.952925917,-4.154116121,1.65163653,NORMAL
1.051041428,-19.26909285,8.858777752,1.551537346,9.459372854,-1.551537346,-4.854810407,8.458381018,-7.257190814,-6.05600061,-6.356298161,6.456397345,10.86076143,-3.053025101,-4.554512856,2.252231632,NORMAL
1.251239796,-21.07087816,5.255207141,2.152132448,9.659571221,-0.650644694,-4.554512856,8.758678569,-7.757686732,-7.257190814,-6.256198978,5.155107958,10.96086061,-3.053025101,-5.055008774,1.851834897,NORMAL
1.251239796,-18.86869612,-2.152132448,2.552529183,9.959868772,2.852826734,-3.953917754,10.05996796,-8.158083467,-8.057984283,-5.955901427,4.054016938,10.66056306,-2.452429999,-5.755703059,4.254215305,NORMAL
0.750743877,-16.56641489,1.951934081,4.254215305,10.36026551,4.654612039,-3.253223468,9.759670405,-8.458381018,-8.057984283,-5.655603876,5.555504692,10.26016632,-1.751735714,-6.256198978,7.657587549,NORMAL
0.450446326,-22.77256428,-5.955901427,5.555504692,10.86076143,3.053025101,-2.652628367,8.158083467,-8.658579385,-7.857785916,-5.455405509,6.156099794,7.9578851,-1.751735714,-6.356298161,7.857785916,NORMAL
0.350347143,-25.87563897,-43.89349203,5.255207141,10.86076143,1.65163653,-1.851834897,5.855802243,-8.458381018,-7.557488365,-5.055008774,5.155107958,8.25818265,-1.851834897,-6.556496529,8.25818265,NORMAL
0.050049592,-20.1699855,-52.80231937,5.855802243,10.36026551,0.150148775,-1.151140612,3.353322652,-8.658579385,-7.15709163,-4.754711223,5.155107958,11.26115816,-2.052033265,-6.656595712,10.05996796,NORMAL
-0.050049592,-17.06691081,-15.56542306,7.056992447,10.56046387,-1.251239796,-0.350347143,2.552529183,-8.958876936,-6.956893263,-4.154116121,4.554512856,10.66056306,-2.352330816,-6.956893263,10.26016632,NORMAL
-0.55054551,-16.86671244,-3.553521019,7.9578851,10.96086061,0.650644694,0.050049592,4.95490959,-8.758678569,-6.956893263,-3.85381857,3.353322652,8.758678569,-1.551537346,-6.956893263,10.86076143,NORMAL
-1.451438163,-12.56244755,-25.47524224,9.659571221,10.86076143,2.75272755,0.350347143,7.857785916,-8.458381018,-6.556496529,-3.253223468,3.653620203,9.05897612,0.050049592,-6.856794079,12.76264591,NORMAL
-1.851834897,-6.356298161,-24.87464714,10.96086061,10.86076143,1.551537346,0.950942245,8.858777752,-8.458381018,-5.755703059,-2.75272755,3.953917754,8.858777752,2.152132448,-6.856794079,12.46234836,NORMAL
-1.551537346,-3.353322652,-3.85381857,9.959868772,10.56046387,0.050049592,1.351338979,7.9578851,-8.358281834,-5.055008774,-2.352330816,3.653620203,9.659571221,4.054016938,-6.856794079,11.76165408,NORMAL
-1.751735714,-5.055008774,4.054016938,9.359273671,10.05996796,-0.350347143,1.851834897,5.455405509,-7.857785916,-4.554512856,-2.052033265,3.753719387,11.86175326,6.05600061,-6.556496529,12.46234836,NORMAL
-2.452429999,-9.559472038,0.350347143,10.36026551,10.56046387,-1.251239796,2.152132448,4.054016938,-7.15709163,-3.85381857,-1.451438163,2.852826734,10.66056306,6.456397345,-6.05600061,13.26314183,NORMAL
-3.253223468,-12.96284428,1.351338979,10.86076143,10.66056306,-0.650644694,2.552529183,5.155107958,-6.656595712,-2.75272755,-0.950942245,1.65163653,7.657587549,6.756694896,-6.05600061,13.56343938,NORMAL
-3.953917754,-14.0639353,15.76562142,10.96086061,10.56046387,0.050049592,3.053025101,4.95490959,-6.256198978,-1.851834897,-0.850843061,2.452429999,7.257190814,7.9578851,-5.755703059,14.26413367,NORMAL
-4.754711223,-13.56343938,31.08079652,10.86076143,10.56046387,-0.350347143,3.353322652,2.252231632,-5.455405509,-0.850843061,-0.850843061,3.053025101,6.956893263,8.758678569,-5.155107958,14.16403449,NORMAL
-5.155107958,-8.958876936,31.88158999,10.26016632,9.759670405,-1.551537346,3.453421836,1.251239796,-4.554512856,0.150148775,-0.850843061,1.851834897,6.05600061,8.158083467,-4.554512856,13.66353857,NORMAL
-5.155107958,-0.250247959,28.97871366,10.96086061,8.558480201,-1.251239796,3.653620203,3.653620203,-3.85381857,0.950942245,-0.55054551,1.65163653,6.656595712,7.857785916,-4.454413672,13.96383612,NORMAL
-6.256198978,3.753719387,31.98168917,12.66254673,8.458381018,-0.050049592,3.953917754,5.155107958,-2.952925917,1.351338979,-0.050049592,1.851834897,6.456397345,7.657587549,-3.653620203,14.26413367,NORMAL
-7.257190814,0.050049592,31.38109407,13.26314183,8.458381018,0.150148775,4.054016938,4.654612039,-1.851834897,2.452429999,-0.050049592,0.350347143,5.155107958,6.756694896,-2.75272755,13.36324102,NORMAL
-7.757686732,-2.452429999,27.17692836,13.56343938,8.158083467,0.350347143,4.554512856,5.455405509,-1.151140612,3.753719387,0.050049592,0.150148775,5.255207141,6.356298161,-2.152132448,12.66254673,NORMAL
-8.158083467,2.75272755,24.4742504,14.26413367,8.458381018,2.452429999,5.255207141,7.9578851,-0.55054551,4.554512856,0.350347143,1.251239796,5.855802243,6.456397345,-1.751735714,13.06294347,NORMAL
-8.658579385,3.453421836,20.77058061,15.16502632,8.25818265,4.354314488,5.255207141,8.558480201,0.150148775,4.95490959,0.150148775,0.050049592,6.456397345,5.755703059,-0.950942245,13.86373693,NORMAL
-8.958876936,-6.256198978,17.56740673,15.06492714,6.956893263,3.653620203,5.255207141,7.357289998,0.950942245,5.755703059,0.050049592,-1.751735714,6.756694896,4.854810407,-0.650644694,12.96284428,NORMAL
-9.859769589,-10.16006714,13.96383612,12.76264591,6.456397345,2.552529183,5.755703059,5.755703059,1.65163653,6.356298161,0.150148775,-1.151140612,5.555504692,5.155107958,-0.55054551,11.26115816,NORMAL
-10.76066224,-2.452429999,9.159075303,10.66056306,6.956893263,1.351338979,5.855802243,3.053025101,2.552529183,6.756694896,0.350347143,-1.151140612,3.153124285,4.95490959,0.050049592,9.359273671,NORMAL
-10.56046387,0.950942245,5.855802243,10.96086061,6.05600061,0.050049592,6.05600061,1.65163653,3.653620203,7.557488365,0.450446326,-2.352330816,1.351338979,3.753719387,0.650644694,7.357289998,NORMAL
-10.86076143,-1.751735714,1.951934081,11.56145571,4.854810407,0.350347143,6.356298161,2.252231632,4.254215305,8.25818265,0.650644694,-2.452429999,1.551537346,3.353322652,0.650644694,6.456397345,NORMAL
-11.96185245,-0.050049592,-1.151140612,11.56145571,4.554512856,1.351338979,6.656595712,2.152132448,4.554512856,8.758678569,0.450446326,-2.652628367,1.851834897,2.852826734,0.750743877,6.356298161,NORMAL
-12.66254673,4.054016938,-5.955901427,12.16205081,4.654612039,1.051041428,6.956893263,2.252231632,4.95490959,9.05897612,0.350347143,-3.953917754,0.750743877,1.65163653,1.051041428,4.854810407,NORMAL
-13.56343938,5.255207141,-22.87266346,11.26115816,4.354314488,1.351338979,7.257190814,2.152132448,5.555504692,9.359273671,0.650644694,-4.454413672,0.050049592,1.251239796,1.551537346,3.753719387,NORMAL
-14.46433204,3.753719387,-41.69130999,8.758678569,3.353322652,1.351338979,7.257190814,-0.350347143,6.05600061,9.359273671,0.650644694,-4.254215305,0.750743877,1.351338979,1.851834897,3.153124285,NORMAL
-14.76462959,1.251239796,-45.99557488,8.558480201,2.452429999,0.150148775,7.657587549,-2.652628367,6.456397345,9.459372854,0.950942245,-5.055008774,0.750743877,0.050049592,1.951934081,1.851834897,NORMAL
-14.76462959,-0.850843061,-55.00450141,8.858777752,1.65163653,1.551537346,7.9578851,-2.652628367,6.956893263,9.659571221,0.950942245,-5.455405509,1.251239796,-1.151140612,2.152132448,2.852826734,NORMAL
-15.36522469,-0.950942245,-75.02433814,7.357289998,0.950942245,3.653620203,7.857785916,-3.653620203,7.257190814,9.659571221,1.051041428,-6.256198978,2.252231632,-1.751735714,2.252231632,5.155107958,NORMAL
-16.56641489,0.050049592,-77.126421,6.756694896,0.450446326,2.152132448,8.158083467,-5.155107958,7.557488365,9.659571221,1.65163653,-7.857785916,0.650644694,-2.75272755,2.552529183,2.75272755,NORMAL
-16.86671244,2.552529183,-61.61104753,6.656595712,0.350347143,0.650644694,8.858777752,-5.455405509,7.857785916,9.659571221,1.951934081,-8.458381018,-0.050049592,-4.154116121,2.75272755,-1.251239796,NORMAL
-16.86671244,4.95490959,-54.10360876,6.156099794,-0.050049592,1.051041428,9.05897612,-6.356298161,7.9578851,9.459372854,2.152132448,-7.857785916,1.951934081,-5.055008774,3.153124285,-1.551537346,NORMAL
-17.16700999,5.555504692,-50.8003357,8.458381018,-0.850843061,0.350347143,9.05897612,-7.257190814,8.25818265,9.659571221,2.552529183,-8.158083467,1.951934081,-6.05600061,3.453421836,-1.151140612,NORMAL
-17.96780346,6.356298161,-40.28992142,11.46135653,-1.551537346,0.750743877,9.359273671,-6.856794079,8.25818265,9.759670405,2.75272755,-8.958876936,0.450446326,-6.856794079,3.153124285,-2.152132448,NORMAL
-18.3682002,5.755703059,-32.38208591,9.759670405,-2.352330816,3.053025101,9.359273671,-7.457389181,8.25818265,9.459372854,2.452429999,-9.05897612,0.750743877,-7.257190814,3.053025101,-2.052033265,NORMAL
-18.3682002,0.950942245,-27.57732509,6.156099794,-2.75272755,2.152132448,9.359273671,-9.259174487,8.558480201,9.359273671,2.852826734,-9.959868772,-0.55054551,-8.057984283,3.353322652,-2.152132448,NORMAL
-18.3682002,-0.850843061,-16.56641489,5.455405509,-3.253223468,-0.250247959,9.359273671,-10.16006714,8.858777752,9.659571221,3.453421836,-11.06095979,-2.452429999,-9.259174487,3.953917754,-3.353322652,NORMAL
-18.06790265,1.251239796,-6.656595712,6.456397345,-3.85381857,0.050049592,9.659571221,-10.16006714,9.05897612,9.659571221,3.753719387,-10.76066224,-1.751735714,-10.46036469,4.254215305,-3.053025101,NORMAL
-18.06790265,0.650644694,-8.057984283,7.257190814,-4.154116121,0.750743877,10.05996796,-10.16006714,9.159075303,9.659571221,4.354314488,-10.16006714,-3.253223468,-10.76066224,4.554512856,-2.452429999,NORMAL
-17.46730755,0.050049592,-11.06095979,7.357289998,-4.154116121,0.150148775,9.959868772,-10.86076143,9.459372854,9.659571221,4.854810407,-10.56046387,-6.956893263,-10.56046387,4.654612039,-3.353322652,NORMAL
-16.56641489,2.252231632,-7.557488365,6.356298161,-4.254215305,-0.250247959,9.05897612,-12.56244755,9.459372854,9.659571221,4.95490959,-11.16105898,-7.857785916,-11.06095979,4.654612039,-4.154116121,NORMAL
-16.26611734,0.750743877,-6.356298161,4.95490959,-4.754711223,-0.350347143,8.458381018,-13.76363775,9.05897612,9.359273671,4.95490959,-11.66155489,-8.057984283,-11.46135653,4.554512856,-4.454413672,NORMAL
-15.06492714,0.150148775,-12.56244755,5.255207141,-5.955901427,-0.650644694,8.25818265,-13.56343938,9.159075303,9.159075303,4.95490959,-11.16105898,-8.958876936,-10.86076143,4.654612039,-4.854810407,NORMAL
-12.06195163,6.356298161,-19.16899367,5.855802243,-6.856794079,0.050049592,8.25818265,-13.16304265,9.759670405,8.758678569,5.555504692,-9.859769589,-7.757686732,-11.06095979,5.455405509,-4.754711223,NORMAL
-9.959868772,8.858777752,-22.47226673,4.95490959,-6.856794079,1.65163653,8.758678569,-13.4633402,10.05996796,8.758678569,6.356298161,-9.359273671,-6.556496529,-12.26215,5.755703059,-3.85381857,NORMAL
-9.859769589,4.054016938,-24.37415122,3.653620203,-6.956893263,1.351338979,8.558480201,-13.86373693,9.659571221,8.558480201,6.456397345,-10.76066224,-6.856794079,-12.8627451,5.555504692,-4.154116121,NORMAL
-9.05897612,2.75272755,-26.47623407,2.452429999,-7.557488365,0.150148775,7.657587549,-14.0639353,9.759670405,7.9578851,6.756694896,-10.86076143,-7.857785916,-12.66254673,6.05600061,-4.854810407,NORMAL
-7.457389181,6.956893263,-27.37712673,1.65163653,-8.057984283,0.450446326,7.257190814,-13.56343938,10.56046387,8.158083467,7.557488365,-9.659571221,-10.86076143,-12.56244755,6.756694896,-4.254215305,NORMAL
-6.556496529,8.758678569,-23.77355612,2.452429999,-8.958876936,1.251239796,7.056992447,-12.8627451,10.66056306,8.758678569,7.657587549,-8.358281834,-11.66155489,-11.76165408,7.056992447,-3.653620203,NORMAL
-5.955901427,6.156099794,-19.16899367,3.453421836,-10.16006714,1.251239796,6.956893263,-11.36125734,10.36026551,8.558480201,7.657587549,-7.457389181,-8.057984283,-11.36125734,6.956893263,-4.454413672,NORMAL
-4.254215305,4.554512856,-17.46730755,3.453421836,-10.46036469,1.351338979,6.356298161,-9.959868772,10.36026551,8.158083467,7.9578851,-7.757686732,-7.457389181,-11.96185245,7.357289998,-4.754711223,NORMAL
-2.75272755,6.456397345,-17.96780346,3.153124285,-10.56046387,0.750743877,5.255207141,-9.359273671,10.56046387,7.9578851,8.25818265,-8.758678569,-10.26016632,-12.26215,7.657587549,-4.854810407,NORMAL
-1.751735714,6.956893263,-20.47028305,2.552529183,-11.46135653,-0.050049592,4.254215305,-8.958876936,10.36026551,7.657587549,8.458381018,-8.358281834,-11.16105898,-10.86076143,7.9578851,-5.155107958,NORMAL
-0.250247959,2.252231632,-22.27206836,0.750743877,-12.06195163,-0.250247959,3.753719387,-7.457389181,10.36026551,7.357289998,8.458381018,-6.656595712,-13.4633402,-10.26016632,8.458381018,-5.455405509,NORMAL
0.750743877,-0.350347143,-15.96581979,-1.551537346,-12.36224918,-0.250247959,3.353322652,-6.556496529,10.56046387,7.357289998,8.558480201,-6.256198978,-15.66552224,-10.56046387,8.758678569,-5.355306325,NORMAL
1.051041428,0.950942245,-6.05600061,-3.253223468,-12.8627451,-0.250247959,2.75272755,-6.856794079,10.36026551,7.056992447,8.858777752,-5.955901427,-13.16304265,-9.05897612,8.858777752,-4.854810407,NORMAL
2.152132448,2.152132448,-1.751735714,-4.854810407,-13.4633402,0.150148775,2.252231632,-6.256198978,10.05996796,6.356298161,9.159075303,-5.455405509,-12.06195163,-6.556496529,9.05897612,-4.154116121,NORMAL
3.953917754,1.351338979,1.351338979,-6.256198978,-14.36423285,0.450446326,1.551537346,-4.854810407,9.459372854,5.755703059,9.359273671,-5.755703059,-15.36522469,-5.955901427,9.159075303,-3.85381857,NORMAL
4.654612039,0.950942245,11.16105898,-6.856794079,-15.06492714,-0.050049592,0.350347143,-3.953917754,9.159075303,5.755703059,9.359273671,-5.755703059,-17.16700999,-5.755703059,9.459372854,-3.85381857,NORMAL
5.255207141,2.152132448,21.77157244,-7.457389181,-14.96482795,-0.950942245,-0.050049592,-3.253223468,8.858777752,5.155107958,9.459372854,-4.754711223,-19.16899367,-4.254215305,9.459372854,-3.85381857,NORMAL
5.755703059,4.054016938,20.77058061,-8.358281834,-15.06492714,-1.751735714,-0.350347143,-2.352330816,8.458381018,4.254215305,9.659571221,-3.653620203,-21.37117571,-3.653620203,9.659571221,-3.85381857,NORMAL
5.155107958,4.254215305,10.66056306,-9.05897612,-15.26512551,-2.152132448,-0.850843061,-2.052033265,8.25818265,3.653620203,9.759670405,-2.952925917,-20.67048142,-3.953917754,9.759670405,-4.154116121,NORMAL
5.155107958,4.054016938,4.654612039,-9.859769589,-15.86572061,-2.352330816,-1.551537346,-1.851834897,7.857785916,3.153124285,9.659571221,-3.253223468,-21.87167163,-3.353322652,9.959868772,-3.653620203,NORMAL
6.356298161,4.554512856,1.251239796,-10.46036469,-16.86671244,-2.152132448,-2.052033265,-1.151140612,7.357289998,2.552529183,9.159075303,-4.254215305,-24.67444877,-2.652628367,9.759670405,-3.053025101,NORMAL
6.656595712,2.552529183,-2.452429999,-10.56046387,-17.46730755,-1.751735714,-2.152132448,-0.350347143,7.056992447,2.252231632,8.858777752,-3.253223468,-23.07286183,-1.451438163,9.759670405,-2.952925917,NORMAL
6.356298161,2.152132448,-0.050049592,-10.76066224,-17.36720836,-1.251239796,-2.952925917,0.450446326,6.656595712,2.152132448,8.458381018,-1.251239796,-20.97077897,-0.050049592,9.659571221,-2.452429999,NORMAL
6.356298161,4.054016938,6.05600061,-11.36125734,-17.66750591,-1.151140612,-4.254215305,0.950942245,5.755703059,1.851834897,8.158083467,-0.850843061,-18.56839857,0.050049592,9.359273671,-1.851834897,NORMAL
6.156099794,3.053025101,11.56145571,-12.26215,-18.06790265,-0.850843061,-4.754711223,1.051041428,5.155107958,1.351338979,7.357289998,-0.650644694,-11.36125734,0.150148775,9.05897612,-1.851834897,NORMAL
6.456397345,2.152132448,22.07186999,-12.8627451,-18.06790265,-0.650644694,-5.155107958,1.851834897,4.554512856,0.650644694,5.855802243,0.450446326,-8.057984283,1.351338979,8.758678569,-1.851834897,NORMAL
7.357289998,2.552529183,33.08278019,-12.8627451,-18.26810101,-1.251239796,-6.05600061,1.851834897,3.653620203,0.150148775,4.654612039,1.351338979,-11.16105898,1.851834897,8.158083467,-1.551537346,NORMAL
7.657587549,-0.050049592,38.88853285,-12.66254673,-17.96780346,-1.551537346,-6.856794079,1.351338979,2.852826734,-0.050049592,4.354314488,1.551537346,-11.06095979,1.851834897,7.557488365,-1.251239796,NORMAL
8.158083467,-0.250247959,43.99359121,-12.8627451,-17.06691081,-1.451438163,-7.457389181,2.152132448,2.252231632,-0.850843061,3.453421836,1.951934081,-9.859769589,2.152132448,6.956893263,-1.451438163,NORMAL
8.758678569,3.753719387,42.09170672,-13.16304265,-16.56641489,-1.551537346,-8.358281834,2.252231632,1.251239796,-1.451438163,1.65163653,1.65163653,-10.76066224,1.351338979,6.356298161,-1.451438163,NORMAL
7.9578851,2.152132448,32.28198672,-13.4633402,-16.46631571,-1.451438163,-9.259174487,2.152132448,0.650644694,-1.751735714,0.750743877,1.65163653,-9.359273671,1.051041428,5.555504692,-0.950942245,NORMAL
7.557488365,-1.751735714,30.68039979,-13.16304265,-15.56542306,-1.251239796,-9.559472038,2.852826734,0.050049592,-2.152132448,0.450446326,2.852826734,-11.06095979,2.252231632,4.854810407,-0.850843061,NORMAL
8.458381018,-1.451438163,32.78248264,-13.16304265,-14.76462959,-1.551537346,-9.359273671,2.452429999,-0.350347143,-3.053025101,0.050049592,3.753719387,-18.06790265,1.851834897,4.254215305,-0.950942245,NORMAL
8.858777752,-2.352330816,22.27206836,-13.56343938,-14.0639353,-1.751735714,-9.559472038,1.551537346,-0.850843061,-3.653620203,-0.55054551,4.354314488,-20.47028305,0.050049592,3.953917754,0.350347143,NORMAL
9.05897612,-2.75272755,7.857785916,-13.4633402,-12.8627451,-2.052033265,-10.16006714,2.852826734,-1.451438163,-4.154116121,-1.151140612,5.155107958,-16.46631571,0.150148775,3.453421836,0.950942245,NORMAL
9.159075303,-0.850843061,1.65163653,-12.56244755,-12.06195163,-2.952925917,-11.06095979,3.453421836,-2.352330816,-4.554512856,-2.352330816,5.155107958,-12.8627451,0.650644694,2.252231632,0.150148775,NORMAL
